,embedder,job_name,task,diff_score,all_probe_sim,pos_probe_sim,num_unique_probes,avg_num_relata,num_pos
1,lstm,norman_2019-02-13-09-43-33_num1,cohyponyms_semantic,-0.025857034885981123,0.029752498231720312,0.1491789613143454,569,25.026362038664324,25.026362038664324
4,lstm,norman_2019-02-13-09-43-33_num1,features_is,0.016094728141955228,-0.008358637866033157,0.016687740151941296,421,6.328719723183391,6.328719723183391
7,lstm,norman_2019-02-13-09-43-33_num1,cohyponyms_syntactic,0.04208929017629015,0.009268322333333332,0.09235618271465397,830,160.12274368231047,160.12274368231047
10,lstm,norman_2019-02-13-09-43-33_num1,nyms_syn_jw,-0.06462172831924029,0.08001099729026089,0.16345031794866852,236,5.755485893416928,5.755485893416928
13,lstm,norman_2019-02-13-09-43-33_num1,hypernyms,-0.06964199821341688,0.024751080042406576,0.14214142549417014,563,1.0,1.0
16,lstm,norman_2019-02-13-09-43-33_num1,events,0.11283326502594782,-0.0174017234241453,0.0031786706727932397,359,15.0625,15.0625
19,lstm,norman_2019-02-13-09-43-33_num1,nyms_ant_jw,-0.06410445654349228,0.08937250904169163,0.15153909023581355,181,4.465863453815261,4.465863453815261
22,lstm,norman_2019-02-13-09-43-33_num1,features_has,-0.0007780337090602663,0.032628914057295136,0.0703306557124953,532,6.781376518218623,6.781376518218623
65,lstm,norman_2019-02-13-09-43-33_num2,cohyponyms_semantic,-0.014203363440987604,0.030447638906477306,0.1523188270535606,569,25.026362038664324,25.026362038664324
68,lstm,norman_2019-02-13-09-43-33_num2,features_is,0.009541337963959395,-0.006777963125548727,0.021669863008572408,421,6.328719723183391,6.328719723183391
71,lstm,norman_2019-02-13-09-43-33_num2,cohyponyms_syntactic,0.03339054994843327,0.010123621277777778,0.09492188158173907,830,160.12274368231047,160.12274368231047
74,lstm,norman_2019-02-13-09-43-33_num2,nyms_syn_jw,-0.08397324241188342,0.07880307276446523,0.16421420829001018,236,5.755485893416928,5.755485893416928
77,lstm,norman_2019-02-13-09-43-33_num2,hypernyms,-0.05067683639111942,0.025393385899814474,0.14987891957559984,563,1.0,1.0
80,lstm,norman_2019-02-13-09-43-33_num2,events,0.10221284838247491,-0.0193225390625,0.0018777558545739305,359,15.0625,15.0625
83,lstm,norman_2019-02-13-09-43-33_num2,nyms_ant_jw,-0.07728612329357709,0.09153072888238034,0.14727037397820242,181,4.465863453815261,4.465863453815261
86,lstm,norman_2019-02-13-09-43-33_num2,features_has,-0.003528783671102431,0.03488841695280069,0.07380662199293596,532,6.781376518218623,6.781376518218623
129,lstm,norman_2019-02-13-09-43-33_num0,cohyponyms_semantic,-0.0074634659302670325,0.03007907079605017,0.15059315973208068,569,25.026362038664324,25.026362038664324
132,lstm,norman_2019-02-13-09-43-33_num0,features_is,0.0049449049963411484,-0.01646605123173062,0.005225926400930637,421,6.328719723183391,6.328719723183391
135,lstm,norman_2019-02-13-09-43-33_num0,cohyponyms_syntactic,0.0267527214297546,0.010129710305555557,0.09739892641614072,830,160.12274368231047,160.12274368231047
138,lstm,norman_2019-02-13-09-43-33_num0,nyms_syn_jw,-0.05925979849746643,0.08135693095478456,0.16373141271911432,236,5.755485893416928,5.755485893416928
141,lstm,norman_2019-02-13-09-43-33_num0,hypernyms,-0.06376692090977265,0.025710064272462235,0.150619632267722,563,1.0,1.0
144,lstm,norman_2019-02-13-09-43-33_num0,events,0.11511939084814915,-0.014934697849893163,0.0038764261539930168,359,15.0625,15.0625
147,lstm,norman_2019-02-13-09-43-33_num0,nyms_ant_jw,-0.05792579830827704,0.08932870709356765,0.14748158058839378,181,4.465863453815261,4.465863453815261
150,lstm,norman_2019-02-13-09-43-33_num0,features_has,-0.015516717054968598,0.03501855109414236,0.07650595444896123,532,6.781376518218623,6.781376518218623
193,ww,pitts_2019-02-13-09-43-40_num0,cohyponyms_semantic,0.002332977788187307,0.011745254122639852,0.122779639387423,569,25.026362038664324,25.026362038664324
196,ww,pitts_2019-02-13-09-43-40_num0,features_is,0.026902295490678574,-0.0024393007281929453,0.033244057312432455,421,6.328719723183391,6.328719723183391
199,ww,pitts_2019-02-13-09-43-40_num0,cohyponyms_syntactic,-0.0030588864757659096,0.00795230261111111,0.0327727506462139,830,160.12274368231047,160.12274368231047
202,ww,pitts_2019-02-13-09-43-40_num0,nyms_syn_jw,-0.0493982983995187,0.025640529196110727,0.09341679540694166,236,5.755485893416928,5.755485893416928
205,ww,pitts_2019-02-13-09-43-40_num0,hypernyms,-0.013708513708513226,0.0084282169361251,0.16419534689664858,563,1.0,1.0
208,ww,pitts_2019-02-13-09-43-40_num0,events,0.09515132553839134,-0.002369386017628205,0.05046553738509352,359,15.0625,15.0625
211,ww,pitts_2019-02-13-09-43-40_num0,nyms_ant_jw,-0.06324201105181138,0.03363902549424216,0.11533033913828568,181,4.465863453815261,4.465863453815261
214,ww,pitts_2019-02-13-09-43-40_num0,features_has,-0.030928928944185863,0.008734152488084864,0.08502816131241953,532,6.781376518218623,6.781376518218623
257,ww,pitts_2019-02-13-09-43-40_num1,cohyponyms_semantic,0.002826542504839491,0.011745254122639852,0.122779639387423,569,25.026362038664324,25.026362038664324
260,ww,pitts_2019-02-13-09-43-40_num1,features_is,0.027583072899890593,-0.0024393007281929453,0.033244057312432455,421,6.328719723183391,6.328719723183391
263,ww,pitts_2019-02-13-09-43-40_num1,cohyponyms_syntactic,-0.003511360239964567,0.00795230261111111,0.0327727506462139,830,160.12274368231047,160.12274368231047
266,ww,pitts_2019-02-13-09-43-40_num1,nyms_syn_jw,-0.05335299297794216,0.025640529196110727,0.09341679540694166,236,5.755485893416928,5.755485893416928
269,ww,pitts_2019-02-13-09-43-40_num1,hypernyms,-0.018793375936231316,0.0084282169361251,0.16419534689664858,563,1.0,1.0
272,ww,pitts_2019-02-13-09-43-40_num1,events,0.10503978214286602,-0.002369386017628205,0.05046553738509352,359,15.0625,15.0625
275,ww,pitts_2019-02-13-09-43-40_num1,nyms_ant_jw,-0.0549874325879971,0.03363902549424216,0.11533033913828568,181,4.465863453815261,4.465863453815261
278,ww,pitts_2019-02-13-09-43-40_num1,features_has,-0.0169772802197401,0.008734152488084864,0.08502816131241953,532,6.781376518218623,6.781376518218623
321,ww,pitts_2019-02-13-09-43-40_num2,cohyponyms_semantic,0.00249734716044947,0.011745254122639852,0.122779639387423,569,25.026362038664324,25.026362038664324
324,ww,pitts_2019-02-13-09-43-40_num2,features_is,0.02762159279182752,-0.0024393007281929453,0.033244057312432455,421,6.328719723183391,6.328719723183391
327,ww,pitts_2019-02-13-09-43-40_num2,cohyponyms_syntactic,-0.003879078493560506,0.00795230261111111,0.0327727506462139,830,160.12274368231047,160.12274368231047
330,ww,pitts_2019-02-13-09-43-40_num2,nyms_syn_jw,-0.04490375774517541,0.025640529196110727,0.09341679540694166,236,5.755485893416928,5.755485893416928
333,ww,pitts_2019-02-13-09-43-40_num2,hypernyms,-0.016903731189444438,0.0084282169361251,0.16419534689664858,563,1.0,1.0
336,ww,pitts_2019-02-13-09-43-40_num2,events,0.09545160165027189,-0.002369386017628205,0.05046553738509352,359,15.0625,15.0625
339,ww,pitts_2019-02-13-09-43-40_num2,nyms_ant_jw,-0.06359792805840703,0.03363902549424216,0.11533033913828568,181,4.465863453815261,4.465863453815261
342,ww,pitts_2019-02-13-09-43-40_num2,features_has,-0.02789048590270471,0.008734152488084864,0.08502816131241953,532,6.781376518218623,6.781376518218623
385,sg,hawkins_2019-02-13-09-43-28_num0,cohyponyms_semantic,0.0043209625572591115,0.013754033623568,0.15361162618875812,569,25.026362038664324,25.026362038664324
388,sg,hawkins_2019-02-13-09-43-28_num0,features_is,-0.015317765843896214,-0.0022885513608428445,0.044584566165012045,421,6.328719723183391,6.328719723183391
391,sg,hawkins_2019-02-13-09-43-28_num0,cohyponyms_syntactic,-0.0029051075605288634,0.023120239666666664,0.056573317694611415,830,160.12274368231047,160.12274368231047
394,sg,hawkins_2019-02-13-09-43-28_num0,nyms_syn_jw,-0.0464883533371121,0.042934625285585254,0.12046748649293076,236,5.755485893416928,5.755485893416928
397,sg,hawkins_2019-02-13-09-43-28_num0,hypernyms,-0.02724524153095187,0.010711993108931882,0.19993577092331125,563,1.0,1.0
400,sg,hawkins_2019-02-13-09-43-28_num0,events,0.04916673378953318,-0.005635055755876068,0.058486054395228956,359,15.0625,15.0625
403,sg,hawkins_2019-02-13-09-43-28_num0,nyms_ant_jw,-0.1013855630388163,0.041537926068916556,0.12927203407655907,181,4.465863453815261,4.465863453815261
406,sg,hawkins_2019-02-13-09-43-28_num0,features_has,-0.054089648384025635,0.012262442474247938,0.0935757423898378,532,6.781376518218623,6.781376518218623
449,sg,hawkins_2019-02-13-09-43-28_num2,cohyponyms_semantic,-0.0021371532795018133,0.01347239438968869,0.15361605299733821,569,25.026362038664324,25.026362038664324
