arch,corpus,embed_size,embedder,evaluation,job_name,neg_pos_ratio,num_epochs,num_vocab,param_name,regime,score,standardize,task
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.6580909768829232,1.0,nyms_syn_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.6573452647278151,1.0,nyms_syn_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1800.0,16384,param_4,expert,0.656599552572707,1.0,nyms_syn_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1900.0,16384,param_4,expert,0.6560402684563759,1.0,nyms_syn_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.4869500372856078,,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.5033557046979866,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.5441834451901566,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.5592841163310962,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.5572334079045489,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.5559284116331096,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.5542505592841164,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.5494034302759135,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.5473527218493661,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.5454884414615958,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.5421327367636093,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.5413870246085011,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1100.0,16384,param_4,expert,0.5415734526472782,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1200.0,16384,param_4,expert,0.5419463087248322,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1300.0,16384,param_4,expert,0.5400820283370619,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1400.0,16384,param_4,expert,0.5400820283370619,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1500.0,16384,param_4,expert,0.5391498881431768,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.540268456375839,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.5421327367636093,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1800.0,16384,param_4,expert,0.5441834451901566,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1900.0,16384,param_4,expert,0.5419463087248322,1.0,nyms_ant_jwshuffled
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.4860368389780155,,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.4802931273519509,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.5416914240443652,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.5599128540305011,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.5672410378292732,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.5700138641315112,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.5704099821746881,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.5747672806496336,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.573578926520103,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.5729847494553377,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.5743711626064567,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.5694196870667458,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1100.0,16384,param_4,expert,0.5729847494553377,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1200.0,16384,param_4,expert,0.5731828084769262,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1300.0,16384,param_4,expert,0.5751633986928104,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1400.0,16384,param_4,expert,0.5741731035848683,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1500.0,16384,param_4,expert,0.5739750445632799,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.5727866904337493,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.5719944543473955,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1800.0,16384,param_4,expert,0.5712022182610418,1.0,nyms_ant_jw
aligner,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1900.0,16384,param_4,expert,0.5706080411962765,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.5139631610219846,,nyms_syn_jw
